phase,mag
0.6732756353856075,10.615
0.9912798476727858,11.196
0.9923930441616449,11.211
0.8719997699070063,10.723
0.8733344401423437,10.703
0.4458578873750412,10.811
0.446784579913583,10.782
0.3074470028666383,10.62
0.30826295853194097,10.63
0.8864724764146104,10.696
0.887492421199795,10.692
0.46967098080676806,10.803
0.4705219059966339,10.809
0.04961731886533016,10.949
0.05047990065384056,10.942
0.6343836235665776,10.645
0.6353569422284409,10.623
0.8660059512725411,10.67
0.1794932657684285,10.64
0.18030339313429522,10.629
0.6693532551726094,10.623
0.6701633825384761,10.62
0.8255799586883086,10.64
0.8264017426529335,10.632
0.9112799374034921,10.707
0.9120958930687948,10.713
0.6540330787222501,10.628
0.6548665192855196,10.622
0.807371274101456,10.637
0.8083271078652388,10.641
0.15105541178775184,10.687
0.7321790573564613,10.578
0.7331057498948894,10.595
0.39298209401857775,10.643
0.3938913019304664,10.634
0.9738492963162457,11.072
0.9747410193300539,11.066
0.5530263048328266,10.801
0.553865573423991,10.755
0.13527480348915333,10.66
0.13607910255569777,10.668
0.2984079890697444,10.614
0.29931719698163306,10.6
0.6224013414012006,10.64
0.6232755795170419,10.656
0.119476710292588,10.694
0.12038008990509752,10.685
0.7788285115468057,10.61
0.7797085782333397,10.619
0.5048079354692163,10.83
0.5056938301837022,10.902
0.08751686624515287,10.726
0.088408589258961,10.714
0.5878968558928364,10.675
0.5888060635332977,10.668
0.06746997512715325,10.811
0.06832090031707594,10.821
0.3894817206104335,10.671
0.390315161173703,10.64
0.8985283254247634,10.682
0.8993559374172833,10.689
0.8392559606136842,10.647
0.8400719162789301,10.633
0.5784830079724657,10.667
0.5792989636377115,10.721
0.25548991126379406,10.547
0.2562242712810985,10.595
0.2569528032704511,10.627
0.4819704000801721,10.86
0.482704760368847,10.862
0.4834332920867723,10.863
0.05709226087941488,10.9
0.05762846034758695,10.892
0.05815300321705763,10.893
0.07461298356093948,10.827
0.07514335472978928,10.816
0.07567372589863908,10.809
0.03680157148693297,11.072
0.03733777095510504,11.063
0.03788562675055118,11.053
0.8068542590162338,10.64
0.8075827910055864,10.634
0.8083171510228908,10.631
0.774671953095833,10.596
0.7754004848137583,10.592
0.776129016803111,10.619
0.5211376928677396,10.875
0.5218778811844231,10.868
0.5226238978003721,10.846
0.9615854073528567,10.975
0.9623197673701043,10.996
0.9630482993594569,10.993
0.2252446641376764,10.6
0.22597902415498083,10.605
0.22670755614433347,10.63
0.6703145140014612,10.608
0.6708507134696333,10.598
0.6713752566105313,10.606
0.22908680177368979,10.624
0.2298211620623647,10.614
0.23055552207966912,10.598
0.7994340038277414,10.61
0.7999643749965912,10.635
0.8004889181374892,10.602
0.5794879770305101,10.707
0.5802281656185073,10.704
0.5809508690371104,10.691
0.8164068707138767,10.649
0.817135402431802,10.615
0.8178639344211547,10.634
0.5685901287131969,10.718
0.5693186604311222,10.72
0.21580651489347247,10.63
0.21653504661145462,10.633
0.21726357860080725,10.636
0.17597138046437522,10.645
0.17669408415440557,10.641
0.1774167878443791,10.638
0.9892302400098174,11.193
0.9897606111786672,11.214
0.9902851540481379,11.201
0.7701898989058122,10.598
0.7709184306237944,10.605
0.7716527909124693,10.585
0.30704211950438776,10.601
0.30777647979306266,10.623
0.30850501151098797,10.613
0.6690182093144585,10.621
0.6697467410323839,10.632
0.6704869296204379,10.625
0.9448585188986272,10.84
0.9455870506166093,10.867
0.9463155826059619,10.859
0.2827988851590817,10.605
0.283527416877007,10.606
0.28425594886635963,10.625
0.39058212180100327,10.645
0.3913106535189854,10.66
0.3920450138076603,10.641
0.455714188747379,10.766
0.4564427204653043,10.788
0.45717125245465695,10.759
0.9810497777859837,11.125
0.9817783095039658,11.14
0.9825068414933185,11.131
0.36773766844106603,10.629
0.36846620015899134,10.624
0.36920638874704537,10.631
0.5214873637357869,10.873
0.5222217237530344,10.866
0.5229444274430648,10.859
0.8468911533798291,10.641
0.8476138570698026,10.625
0.848336560759833,10.646
0.5870565496043127,10.678
0.5877909098929877,10.692
0.5885194416109698,10.694
0.48892720919877775,10.884
0.4896557411881304,10.88
0.4903842729060557,10.884
0.8235571266749844,10.628
0.824285658664337,10.637
0.8250141903822623,10.641
0.5457365281968691,10.801
0.5464650599148513,10.806
0.5486623122101832,10.796
0.1478826893547307,10.681
0.148611221072656,10.64
0.14933975306200864,10.657
0.30810174752070907,10.622
0.3088302795100617,10.632
0.30955881122804385,10.609
0.21435525483576612,10.631
0.21508378682511875,10.628
0.21581814684242318,10.624
0.5342763810036786,10.74
0.535010741020983,10.811
0.5357451013096579,10.813
0.19136099118469474,10.629
0.19208952290262005,10.645
0.19282388319129495,10.641
0.3562333030218383,10.602
0.3569676630390859,10.639
0.3577020230563903,10.636
0.5698871203803151,10.717
0.5706273086969418,10.713
0.5713616689856735,10.706
0.8875626442663247,10.697
0.8882970042835723,10.735
0.8890371926002558,10.676
0.19436363248951238,10.639
0.19510382080613908,10.633
0.1958381808234435,10.616
0.7233943350833556,10.608
0.7241228670727082,10.614
0.7248455704913681,10.617
0.0670697041978201,10.837
0.06780406421506768,10.829
0.06854425253169438,10.826
0.39147103395475824,10.656
0.39221122254281227,10.645
0.39294558256005985,10.646
0.1366953557379702,10.679
0.13742971575521779,10.65
0.13815824774457042,10.668
0.41839888967598426,10.682
0.41913907799261096,10.684
0.4198676099819636,10.666
0.16987692888329775,10.625
0.17060546087265038,10.672
0.1713398208899548,10.636
0.36398728987450113,10.611
0.36471582159242644,10.561
0.36545600990905314,10.652
0.9934984256757389,11.244
0.9942269576650915,11.236
0.9949613176823959,11.236
0.5730775835899067,10.716
0.5738119436072111,10.675
0.574546303895886,10.702
0.4115902717478548,10.678
0.4123188037372074,10.689
0.4130531637544834,10.667
0.15234432186315416,10.658
0.1530728535811079,10.662
0.15380138557046052,10.668
