HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458483.80692,2018-12-31.3045608,bA,2.04,15.415,11.153,0.006,125.581,0.731,g
2458483.80820,2018-12-31.3058449,bA,1.78,14.630,11.096,0.022,132.300,2.688,g
2458483.80946,2018-12-31.3071107,bA,2.02,15.019,11.185,0.009,121.926,1.056,g
2458485.79625,2019-01-02.2940109,bA,2.18,15.388,10.774,0.007,177.951,1.089,g
2458485.79753,2019-01-02.2952884,bA,2.27,15.380,10.766,0.005,179.390,0.772,g
2458485.79879,2019-01-02.2965501,bA,2.21,15.393,10.780,0.005,177.094,0.749,g
2458487.73832,2019-01-04.2361931,bq,1.55,15.167,10.734,0.006,184.658,0.898,g
2458487.73952,2019-01-04.2374045,bq,1.55,15.171,10.734,0.006,184.702,1.015,g
2458487.74083,2019-01-04.2387155,bq,1.51,15.162,10.732,0.006,184.962,0.981,g
2458488.73353,2019-01-05.2314678,bq,1.50,15.189,10.771,0.005,178.606,0.854,g
2458488.73475,2019-01-05.2326843,bq,1.53,15.196,10.767,0.007,179.149,1.047,g
2458488.73597,2019-01-05.2339027,bq,1.48,15.188,10.769,0.005,178.891,0.833,g
2458489.74703,2019-01-06.2450291,bA,2.33,14.949,10.384,0.016,254.841,3.657,g
2458489.74829,2019-01-06.2462942,bA,2.33,14.962,10.379,0.016,256.043,3.722,g
2458489.74956,2019-01-06.2475601,bA,2.38,14.956,10.392,0.017,253.054,3.909,g
2458490.74390,2019-01-07.2419670,bA,2.10,15.226,10.862,0.016,164.217,2.459,g
2458490.74518,2019-01-07.2432440,bA,2.13,15.217,10.839,0.016,167.684,2.496,g
2458490.74644,2019-01-07.2445057,bA,2.10,15.212,10.818,0.015,170.896,2.411,g
2458493.77559,2019-01-10.2738466,bA,2.07,15.388,10.704,0.007,189.774,1.153,g
2458493.77687,2019-01-10.2751240,bA,2.06,15.374,10.758,0.007,180.669,1.088,g
2458493.77816,2019-01-10.2764106,bA,2.06,15.399,10.748,0.007,182.307,1.114,g
2458495.71455,2019-01-12.2129289,bq,1.59,15.189,10.841,0.006,167.323,0.860,g
2458495.71577,2019-01-12.2141399,bq,1.59,15.184,10.837,0.007,168.078,1.004,g
2458495.71697,2019-01-12.2153474,bq,1.54,15.228,10.890,0.006,160.002,0.869,g
2458498.75449,2019-01-15.2530765,bA,2.13,15.326,10.735,0.005,184.600,0.834,g
2458498.75578,2019-01-15.2543557,bA,2.11,15.341,10.748,0.007,182.269,1.144,g
2458498.75705,2019-01-15.2556298,bA,2.13,15.338,10.724,0.006,186.406,0.962,g
2458501.66504,2019-01-18.1638054,bq,1.66,14.681,10.778,0.009,177.445,1.470,g
2458501.66625,2019-01-18.1650199,bq,1.55,14.817,10.782,0.008,176.721,1.275,g
2458501.66747,2019-01-18.1662430,bq,1.58,14.896,10.774,0.007,178.075,1.146,g
2458503.74845,2019-01-20.2473637,bA,2.28,15.261,10.765,0.005,179.402,0.932,g
2458503.74973,2019-01-20.2486488,bA,2.33,15.233,10.768,0.007,179.012,1.128,g
2458503.75101,2019-01-20.2499214,bA,2.25,15.227,10.757,0.007,180.719,1.062,g
2458504.74496,2019-01-21.2439350,bA,2.02,15.362,10.738,0.005,184.060,0.934,g
2458504.74623,2019-01-21.2452127,bA,2.03,15.372,10.731,0.006,185.336,0.954,g
2458504.74751,2019-01-21.2464887,bA,2.03,15.370,10.743,0.006,183.120,1.039,g
2458505.74140,2019-01-22.2404445,bA,2.09,15.257,10.752,0.007,181.635,1.172,g
2458505.74268,2019-01-22.2417251,bA,2.10,15.269,10.697,0.006,191.147,1.055,g
2458505.74395,2019-01-22.2429994,bA,2.08,15.281,10.749,0.006,182.119,1.078,g
2458506.73778,2019-01-23.2369016,bA,2.02,15.392,10.744,0.006,182.941,0.931,g
2458506.73906,2019-01-23.2381780,bA,2.02,15.380,10.766,0.005,179.317,0.913,g
2458506.74033,2019-01-23.2394545,bA,2.02,15.400,10.746,0.006,182.601,1.013,g
2458507.73446,2019-01-24.2336540,bA,2.03,99.990,99.990,99.990,99.990,99.990,g
2458507.73574,2019-01-24.2349263,bA,2.18,99.990,99.990,99.990,99.990,99.990,g
