HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2455946.79650,2012-01-20.2954027,ba,2.41,99.990,99.990,99.990,99.990,99.990,V
2455950.79737,2012-01-24.2965466,ba,2.07,15.321,10.615,0.005,217.765,1.077,V
2455958.72191,2012-02-01.2216418,ba,2.41,99.990,99.990,99.990,99.990,99.990,V
2455958.72375,2012-02-01.2234844,ba,2.39,99.990,99.990,99.990,99.990,99.990,V
2455966.78501,2012-02-09.2853165,ba,2.10,15.370,11.196,0.008,127.400,0.868,V
2455966.78692,2012-02-09.2872253,ba,2.11,15.420,11.211,0.008,125.735,0.930,V
2455971.72769,2012-02-14.2283502,ba,2.11,15.405,10.723,0.008,197.138,1.479,V
2455971.72998,2012-02-14.2306399,ba,2.13,15.391,10.704,0.008,200.722,1.521,V
2455984.72276,2012-02-27.2242966,ba,1.74,13.426,10.811,0.022,181.739,3.690,V
2455984.72435,2012-02-27.2258990,ba,2.00,13.334,10.782,0.031,186.627,5.330,V
2457008.80560,2014-12-17.3021127,ba,2.03,15.053,10.620,0.006,216.648,1.081,V
2457008.80700,2014-12-17.3035167,ba,1.99,15.056,10.630,0.006,214.609,1.118,V
2457009.79908,2014-12-18.2956462,ba,1.96,15.085,10.696,0.006,202.167,1.020,V
2457009.80083,2014-12-18.2973923,ba,1.78,15.100,10.692,0.005,202.846,0.973,V
2457010.79972,2014-12-19.2963239,ba,1.80,14.525,10.803,0.008,183.242,1.401,V
2457010.80118,2014-12-19.2977876,ba,2.00,14.512,10.809,0.008,182.069,1.416,V
2457011.79478,2014-12-20.2914340,ba,1.83,15.214,10.949,0.006,160.124,0.873,V
2457011.79626,2014-12-20.2929131,ba,1.77,15.193,10.942,0.006,161.023,0.875,V
2457012.79811,2014-12-21.2948100,ba,2.01,15.043,10.645,0.006,211.945,1.056,V
2457012.79978,2014-12-21.2964826,ba,2.12,15.015,10.623,0.005,216.210,1.026,V
2457021.77279,2014-12-30.2699689,ba,1.67,99.990,99.990,99.990,99.990,99.990,V
2457021.77442,2014-12-30.2716047,ba,1.65,15.063,10.670,0.006,207.069,1.048,V
2457037.75431,2015-01-15.2524821,ba,2.00,15.038,10.640,0.006,212.783,1.053,V
2457037.75570,2015-01-15.2538748,ba,2.00,15.061,10.629,0.006,215.000,1.097,V
2457043.74214,2015-01-21.2407180,ba,2.14,15.039,10.623,0.006,216.104,1.155,V
2457043.74353,2015-01-21.2421090,ba,2.15,15.029,10.620,0.006,216.772,1.145,V
2457045.72597,2015-01-23.2246917,ba,2.28,15.014,10.640,0.007,212.892,1.267,V
2457045.72738,2015-01-23.2260910,ba,2.28,15.006,10.632,0.006,214.326,1.212,V
2457052.73613,2015-01-30.2353355,ba,1.71,15.065,10.707,0.005,199.947,1.001,V
2457052.73753,2015-01-30.2367359,ba,1.63,15.060,10.713,0.006,199.039,1.051,V
2457055.72631,2015-02-02.2257281,ba,1.74,14.974,10.628,0.006,215.221,1.174,V
2457055.72774,2015-02-02.2271546,ba,1.71,14.962,10.622,0.006,216.425,1.244,V
2457069.71564,2015-02-16.2160425,ba,1.98,14.893,10.637,0.006,213.211,1.174,V
2457069.71728,2015-02-16.2176790,ba,1.99,14.958,10.641,0.006,212.765,1.164,V
2457180.11521,2015-06-06.6187940,ba,2.02,14.701,10.687,0.007,203.838,1.302,V
2457180.11680,2015-06-06.6203846,ba,2.09,99.990,99.990,99.990,99.990,99.990,V
2457181.11229,2015-06-07.6158443,ba,1.98,14.894,10.578,0.006,225.284,1.342,V
2457181.11388,2015-06-07.6174273,ba,2.00,14.791,10.595,0.007,221.768,1.388,V
2457189.10920,2015-06-15.6124513,ba,2.23,14.909,10.643,0.006,212.300,1.227,V
2457189.11076,2015-06-15.6140194,ba,2.25,14.906,10.634,0.007,213.942,1.317,V
2457190.10584,2015-06-16.6090603,ba,1.81,15.185,11.072,0.007,142.963,0.906,V
2457190.10737,2015-06-16.6105827,ba,1.98,15.158,11.066,0.007,143.745,0.867,V
2457191.09958,2015-06-17.6027527,ba,1.63,15.101,10.801,0.006,183.446,1.083,V
2457191.10102,2015-06-17.6041914,ba,1.69,15.079,10.755,0.006,191.469,0.998,V
2457192.09859,2015-06-18.6016883,ba,1.67,14.930,10.660,0.006,208.988,1.194,V
2457192.09997,2015-06-18.6030674,ba,1.67,14.906,10.668,0.006,207.264,1.220,V
2457194.09427,2015-06-20.5972829,ba,1.71,14.990,10.614,0.006,217.923,1.186,V
2457194.09583,2015-06-20.5988439,ba,1.76,14.996,10.600,0.006,220.654,1.151,V
2457198.08173,2015-06-24.5845552,ba,2.17,14.950,10.640,0.006,212.813,1.210,V
2457198.08323,2015-06-24.5860543,ba,2.18,14.965,10.656,0.006,209.621,1.211,V
2457204.08194,2015-06-30.5844429,ba,1.63,14.971,10.694,0.006,202.506,1.119,V
2457204.08349,2015-06-30.5859879,ba,1.63,15.021,10.686,0.006,204.121,1.100,V
2457212.07636,2015-07-08.5784003,ba,1.63,15.001,10.610,0.006,218.731,1.185,V
2457212.07787,2015-07-08.5799067,ba,1.63,14.977,10.619,0.006,217.001,1.132,V
2457215.03776,2015-07-11.5396158,ba,2.13,14.720,10.831,0.013,178.551,2.071,V
2457215.03928,2015-07-11.5411370,ba,2.13,14.454,10.902,0.010,167.155,1.552,V
2457216.03756,2015-07-12.5393596,ba,1.74,15.063,10.726,0.006,196.496,1.097,V
2457216.03909,2015-07-12.5408883,ba,1.70,15.029,10.714,0.006,198.715,1.099,V
2457222.04344,2015-07-18.5448555,ba,1.62,15.051,10.675,0.006,206.110,1.042,V
2457222.04500,2015-07-18.5464127,ba,1.63,15.055,10.668,0.006,207.213,1.079,V
2457228.01362,2015-07-24.5146466,ba,1.63,15.099,10.811,0.006,181.872,0.985,V
2457228.01508,2015-07-24.5160982,ba,1.64,15.119,10.821,0.006,180.212,1.002,V
2457231.99768,2015-07-28.4984348,ba,1.62,14.985,10.671,0.006,206.796,1.171,V
2457231.99911,2015-07-28.4998667,ba,1.62,14.975,10.640,0.006,212.767,1.186,V
2457238.01843,2015-08-03.5187721,ba,1.69,14.985,10.682,0.006,204.760,1.141,V
2457238.01985,2015-08-03.5201954,ba,1.62,14.984,10.689,0.006,203.370,1.228,V
2457243.06407,2015-08-08.5640651,ba,1.64,15.048,10.647,0.006,211.494,1.078,V
2457243.06547,2015-08-08.5654633,ba,1.64,15.014,10.633,0.006,214.147,1.129,V
2457246.04820,2015-08-11.5479865,ba,1.65,15.067,10.667,0.006,207.651,1.022,V
2457246.04960,2015-08-11.5493894,ba,1.60,15.094,10.721,0.006,197.502,1.025,V
2457260.93603,2015-08-26.4348155,ba,1.89,14.018,10.547,0.015,231.862,3.104,V
2457260.93729,2015-08-26.4360699,ba,1.74,14.678,10.595,0.007,221.810,1.429,V
2457260.93854,2015-08-26.4373196,ba,1.82,14.595,10.627,0.009,215.288,1.718,V
2457263.04040,2015-08-28.5390482,ba,1.69,15.051,10.860,0.006,173.636,0.983,V
2457263.04166,2015-08-28.5403024,ba,1.65,15.073,10.862,0.007,173.525,1.033,V
2457263.04291,2015-08-28.5415587,ba,1.59,15.048,10.863,0.007,173.282,1.002,V
2457270.89030,2015-09-05.3884445,ba,1.63,14.887,10.900,0.007,167.447,1.082,V
2457270.89122,2015-09-05.3893603,ba,1.60,14.917,10.892,0.006,168.681,1.044,V
2457270.89212,2015-09-05.3902694,ba,1.62,14.919,10.893,0.007,168.557,1.135,V
2457276.06770,2015-09-10.5655328,ba,1.65,14.913,10.827,0.006,179.055,1.074,V
2457276.06861,2015-09-10.5664415,ba,1.68,14.925,10.816,0.006,180.876,1.073,V
2457276.06952,2015-09-10.5673563,ba,1.65,14.896,10.809,0.007,182.207,1.122,V
2457288.01328,2015-09-22.5104655,ba,2.05,14.967,11.072,0.007,142.919,0.941,V
2457288.01420,2015-09-22.5113896,ba,2.07,15.005,11.063,0.007,144.153,0.957,V
2457288.01514,2015-09-22.5123288,ba,2.04,14.978,11.053,0.007,145.456,0.987,V
2457291.05030,2015-09-25.5473410,ba,1.72,14.972,10.640,0.006,212.643,1.151,V
2457291.05155,2015-09-25.5485909,ba,1.73,14.975,10.634,0.006,213.858,1.168,V
2457291.05281,2015-09-25.5498472,ba,1.70,14.972,10.631,0.006,214.565,1.162,V
2457297.85820,2015-10-02.3549384,ba,1.66,14.925,10.596,0.006,221.745,1.213,V
2457297.85945,2015-10-02.3561937,ba,1.61,14.957,10.592,0.006,222.411,1.222,V
2457297.86070,2015-10-02.3574457,ba,1.68,15.012,10.619,0.006,217.039,1.173,V
2457300.85475,2015-10-05.3513677,ba,1.64,15.054,10.875,0.007,171.420,1.005,V
2457300.85602,2015-10-05.3526438,ba,1.71,15.065,10.868,0.007,172.465,1.030,V
2457300.85730,2015-10-05.3539254,ba,1.64,15.002,10.846,0.006,175.994,1.012,V
2457305.04202,2015-10-09.5384969,ba,1.70,15.180,10.975,0.006,156.234,0.852,V
2457305.04328,2015-10-09.5397502,ba,1.66,15.195,10.996,0.006,153.232,0.862,V
2457305.04453,2015-10-09.5410013,ba,1.68,15.171,10.993,0.006,153.730,0.858,V
2457308.92596,2015-10-13.4223131,ba,1.61,15.029,10.600,0.006,220.840,1.119,V
2457308.92722,2015-10-13.4235651,ba,1.66,15.046,10.605,0.006,219.924,1.105,V
2457308.92847,2015-10-13.4248238,ba,1.59,15.037,10.630,0.006,214.639,1.153,V
2457314.83694,2015-10-19.3331385,ba,1.67,14.581,10.608,0.007,219.286,1.386,V
2457314.83786,2015-10-19.3340531,ba,1.70,14.403,10.598,0.009,221.319,1.776,V
2457314.83876,2015-10-19.3349567,ba,1.66,14.488,10.606,0.009,219.592,1.866,V
2457315.79567,2015-10-20.2918409,ba,1.70,14.732,10.624,0.007,216.022,1.369,V
2457315.79693,2015-10-20.2931038,ba,1.69,14.705,10.614,0.007,218.051,1.401,V
2457315.79819,2015-10-20.2943593,ba,1.76,14.723,10.598,0.007,221.135,1.491,V
2457316.77426,2015-10-21.2704135,ba,1.76,14.766,10.610,0.007,218.864,1.302,V
2457316.77517,2015-10-21.2713193,ba,1.77,14.769,10.635,0.007,213.616,1.369,V
2457316.77607,2015-10-21.2722247,ba,1.73,14.746,10.602,0.007,220.244,1.421,V
2457319.82844,2015-10-24.3245342,ba,1.69,15.000,10.707,0.006,199.936,1.128,V
2457319.82971,2015-10-24.3257983,ba,1.63,15.038,10.704,0.006,200.722,1.123,V
2457319.83095,2015-10-24.3270414,ba,1.70,14.961,10.691,0.006,203.087,1.181,V
2457321.95072,2015-10-26.4467787,ba,1.80,14.867,10.649,0.006,211.020,1.268,V
2457321.95197,2015-10-26.4480297,ba,1.67,14.846,10.615,0.006,217.829,1.305,V
2457321.95322,2015-10-26.4492864,ba,1.72,14.936,10.634,0.006,213.919,1.202,V
2457324.95708,2015-10-29.4530983,ba,1.98,14.911,10.718,0.006,198.149,1.103,V
2457324.95833,2015-10-29.4543461,ba,1.99,14.962,10.720,0.006,197.578,1.081,V
2457327.78334,2015-11-01.2793287,ba,1.68,15.039,10.631,0.006,214.595,1.151,V
2457327.78459,2015-11-01.2805846,ba,1.65,15.020,10.633,0.006,214.218,1.155,V
2457327.78584,2015-11-01.2818322,ba,1.65,15.020,10.636,0.006,213.681,1.108,V
2457332.86233,2015-11-06.3582981,ba,1.71,15.018,10.645,0.006,211.868,1.091,V
2457332.86357,2015-11-06.3595408,ba,1.70,15.014,10.641,0.005,212.577,1.029,V
2457332.86481,2015-11-06.3607850,ba,1.69,15.043,10.638,0.006,213.098,1.130,V
2457342.83660,2015-11-16.3326208,ba,1.78,15.077,11.193,0.007,127.826,0.870,V
2457342.83751,2015-11-16.3335244,ba,1.79,15.059,11.214,0.008,125.428,0.894,V
2457342.83841,2015-11-16.3344302,ba,1.80,15.069,11.201,0.008,126.958,0.903,V
2457357.90279,2015-12-01.3991065,ba,2.03,14.963,10.598,0.006,221.090,1.230,V
2457357.90404,2015-12-01.4003608,ba,2.03,14.947,10.605,0.006,219.835,1.139,V
2457357.90530,2015-12-01.4016148,ba,2.01,14.967,10.585,0.006,223.787,1.214,V
2457358.82391,2015-12-02.3202545,ba,1.76,15.013,10.601,0.006,220.506,1.183,V
2457358.82517,2015-12-02.3215164,ba,1.78,15.034,10.623,0.006,216.178,1.138,V
2457358.82642,2015-12-02.3227609,ba,1.68,15.025,10.613,0.006,218.149,1.152,V
2457362.87654,2015-12-06.3730138,ba,1.68,15.020,10.621,0.006,216.498,1.076,V
2457362.87779,2015-12-06.3742643,ba,1.98,14.994,10.632,0.006,214.329,1.116,V
2457362.87906,2015-12-06.3755300,ba,1.74,15.013,10.625,0.006,215.775,1.132,V
2457366.78138,2015-12-10.2779936,ba,2.15,15.037,10.840,0.006,176.820,0.966,V
2457366.78263,2015-12-10.2792458,ba,2.16,15.096,10.867,0.006,172.665,0.975,V
2457366.78388,2015-12-10.2804959,ba,2.22,15.110,10.859,0.005,173.915,0.918,V
2457370.79277,2015-12-14.2895421,ba,1.67,14.999,10.605,0.006,219.799,1.148,V
2457370.79402,2015-12-14.2907980,ba,1.64,14.995,10.606,0.006,219.585,1.098,V
2457370.79527,2015-12-14.2920486,ba,1.65,14.993,10.625,0.005,215.805,1.065,V
2457377.84082,2015-12-21.3379189,ba,2.03,14.899,10.645,0.006,211.828,1.220,V
2457377.84207,2015-12-21.3391724,ba,2.02,14.903,10.660,0.006,208.711,1.231,V
2457377.84333,2015-12-21.3404251,ba,1.74,14.951,10.641,0.006,212.693,1.152,V
2457384.81569,2015-12-28.3131475,ba,1.76,14.968,10.766,0.006,189.364,1.066,V
2457384.81694,2015-12-28.3144032,ba,1.72,15.010,10.788,0.006,185.722,1.050,V
2457384.81819,2015-12-28.3156527,ba,1.73,14.948,10.759,0.007,190.696,1.125,V
2457385.71705,2015-12-29.2145641,ba,1.75,15.247,11.125,0.007,136.077,0.809,V
2457385.71830,2015-12-29.2158143,ba,1.73,15.265,11.140,0.006,134.232,0.783,V
2457385.71955,2015-12-29.2170670,ba,1.75,15.242,11.131,0.006,135.443,0.778,V
2457389.81208,2016-01-02.3098269,ba,2.14,14.966,10.629,0.006,215.056,1.130,V
2457389.81333,2016-01-02.3110785,ba,2.01,14.990,10.624,0.005,216.028,1.034,V
2457389.81460,2016-01-02.3123466,ba,2.08,14.983,10.631,0.006,214.540,1.081,V
2457391.79166,2016-01-04.2895277,ba,1.77,15.119,10.873,0.005,171.694,0.899,V
2457391.79292,2016-01-04.2907802,ba,1.70,15.116,10.866,0.006,172.776,0.966,V
2457391.79416,2016-01-04.2920210,ba,1.67,15.121,10.859,0.006,173.843,0.969,V
2457395.78154,2016-01-08.2796452,ba,2.40,14.922,10.641,0.007,212.461,1.329,V
2457395.78278,2016-01-08.2808878,ba,2.42,14.937,10.625,0.007,215.769,1.370,V
2457395.78402,2016-01-08.2821259,ba,2.39,14.909,10.646,0.006,211.505,1.239,V
2457398.76728,2016-01-11.2655826,ba,1.63,15.035,10.678,0.006,205.446,1.075,V
2457398.76854,2016-01-11.2668364,ba,1.66,15.044,10.692,0.006,202.676,1.096,V
2457398.76979,2016-01-11.2680892,ba,1.72,15.021,10.694,0.006,202.601,1.092,V
2457403.74625,2016-01-16.244875,ba,1.65,15.114,10.884,0.006,169.815,0.932,V
2457403.74750,2016-01-16.2461244,ba,1.62,15.132,10.880,0.006,170.586,0.960,V
2457403.74875,2016-01-16.2473773,ba,1.72,15.115,10.884,0.006,169.898,0.965,V
2457407.75196,2016-01-20.2508604,ba,1.75,14.922,10.627,0.006,215.321,1.197,V
2457407.75321,2016-01-20.2521111,ba,1.72,14.925,10.637,0.006,213.335,1.246,V
2457407.75446,2016-01-20.2533630,ba,1.79,14.972,10.641,0.006,212.577,1.191,V
2457410.70684,2016-01-23.2059383,ba,2.27,14.724,10.801,0.008,183.506,1.291,V
2457410.70809,2016-01-23.2071953,ba,2.27,14.844,10.806,0.007,182.685,1.216,V
2457410.71186,2016-01-23.2109622,ba,2.20,14.872,10.796,0.007,184.282,1.199,V
2457411.73999,2016-01-24.2391631,ba,1.98,14.893,10.681,0.007,204.817,1.217,V
2457411.74124,2016-01-24.2404153,ba,1.70,14.893,10.640,0.006,212.703,1.290,V
2457411.74249,2016-01-24.2416634,ba,1.99,14.902,10.657,0.006,209.531,1.142,V
2457413.73067,2016-01-26.2299771,ba,1.75,14.991,10.622,0.006,216.336,1.155,V
2457413.73192,2016-01-26.2312303,ba,1.99,14.991,10.632,0.006,214.326,1.078,V
2457413.73317,2016-01-26.2324817,ba,1.72,14.971,10.609,0.006,218.777,1.189,V
2457418.71716,2016-01-31.2168258,ba,2.15,14.913,10.631,0.006,214.473,1.223,V
2457418.71841,2016-01-31.2180737,ba,2.20,14.952,10.628,0.006,215.260,1.251,V
2457418.71967,2016-01-31.2193315,ba,2.21,14.975,10.624,0.006,215.760,1.227,V
2457553.09687,2016-06-13.6001541,ba,1.57,15.034,10.740,0.006,194.126,1.145,V
2457553.09813,2016-06-13.6014190,ba,1.64,15.045,10.811,0.006,181.807,1.063,V
2457553.09939,2016-06-13.6026723,ba,1.62,15.031,10.813,0.006,181.462,1.017,V
2457561.08740,2016-06-21.5903274,ba,1.62,14.889,10.629,0.007,214.977,1.431,V
2457561.08865,2016-06-21.5915789,ba,1.60,14.843,10.645,0.007,211.857,1.382,V
2457561.08991,2016-06-21.5928370,ba,1.59,14.926,10.641,0.007,212.495,1.391,V
2457575.09652,2016-07-05.5986879,ba,1.60,14.984,10.602,0.006,220.434,1.246,V
2457575.09778,2016-07-05.5999553,ba,1.57,14.983,10.639,0.006,213.057,1.228,V
2457575.09904,2016-07-05.6012103,ba,1.58,15.028,10.636,0.007,213.524,1.262,V
2457584.04200,2016-07-14.5436254,ba,1.69,15.016,10.717,0.006,198.281,1.148,V
2457584.04327,2016-07-14.5448995,ba,1.69,14.991,10.713,0.006,198.949,1.139,V
2457584.04453,2016-07-14.5461523,ba,1.63,15.012,10.706,0.006,200.282,1.190,V
2457588.01862,2016-07-18.5199901,ba,1.72,14.928,10.697,0.007,201.944,1.301,V
2457588.01988,2016-07-18.5212460,ba,1.69,14.931,10.735,0.008,194.880,1.299,V
2457588.02115,2016-07-18.5225181,ba,1.68,14.886,10.676,0.007,205.942,1.273,V
2457597.12392,2016-07-27.6246905,ba,2.15,14.889,10.639,0.006,212.953,1.222,V
2457597.12519,2016-07-27.6259550,ba,2.22,14.822,10.633,0.007,213.991,1.401,V
2457597.12645,2016-07-27.6272188,ba,2.38,14.797,10.616,0.007,217.380,1.400,V
2457598.03162,2016-07-28.5323204,ba,1.78,14.938,10.608,0.006,219.116,1.299,V
2457598.03287,2016-07-28.5335740,ba,1.79,14.947,10.614,0.006,217.951,1.266,V
2457598.03411,2016-07-28.5348153,ba,1.70,14.939,10.617,0.006,217.313,1.281,V
2457602.05285,2016-08-01.5532775,ba,1.62,15.086,10.837,0.006,177.512,1.064,V
2457602.05411,2016-08-01.5545423,ba,1.64,15.097,10.829,0.006,178.710,1.052,V
2457602.05538,2016-08-01.5558050,ba,1.65,15.098,10.826,0.006,179.180,1.063,V
2457606.04101,2016-08-05.5411592,ba,2.34,14.872,10.656,0.006,209.692,1.224,V
2457606.04228,2016-08-05.5424319,ba,2.28,14.884,10.645,0.006,211.840,1.302,V
2457606.04354,2016-08-05.5436975,ba,2.15,14.943,10.646,0.006,211.574,1.225,V
2457609.03543,2016-08-08.5353814,ba,1.67,15.018,10.680,0.006,205.219,1.126,V
2457609.03669,2016-08-08.5366355,ba,1.67,15.005,10.650,0.006,210.785,1.171,V
2457609.03794,2016-08-08.5378909,ba,1.63,15.025,10.668,0.006,207.247,1.226,V
2457612.95033,2016-08-12.4500091,ba,2.02,14.964,10.682,0.007,204.639,1.252,V
2457612.95160,2016-08-12.4512728,ba,1.83,14.988,10.684,0.006,204.228,1.222,V
2457612.95285,2016-08-12.4525267,ba,1.99,14.962,10.666,0.005,207.738,1.055,V
2457615.95548,2016-08-15.4549541,ba,1.68,14.719,10.625,0.008,215.760,1.655,V
2457615.95673,2016-08-15.4562045,ba,1.69,14.390,10.672,0.012,206.662,2.214,V
2457615.95799,2016-08-15.4574569,ba,1.64,14.918,10.636,0.006,213.698,1.299,V
2457618.00431,2016-08-17.5036400,ba,1.62,14.900,10.611,0.006,218.410,1.299,V
2457618.00556,2016-08-17.5048931,ba,1.68,14.850,10.561,0.007,228.790,1.407,V
2457618.00683,2016-08-17.5061586,ba,1.58,14.900,10.651,0.006,210.449,1.282,V
2457625.94753,2016-08-25.4463263,ba,1.67,15.237,11.244,0.007,121.957,0.788,V
2457625.94878,2016-08-25.4475780,ba,1.65,15.268,11.236,0.008,122.903,0.877,V
2457625.95004,2016-08-25.4488435,ba,1.64,15.243,11.236,0.007,122.870,0.783,V
2457626.94196,2016-08-26.4406917,ba,2.01,14.998,10.716,0.006,198.284,1.180,V
2457626.94322,2016-08-26.4419561,ba,1.71,14.983,10.675,0.006,205.927,1.191,V
2457626.94448,2016-08-26.4432101,ba,2.09,15.010,10.703,0.006,200.858,1.118,V
2457636.95956,2016-09-05.4576530,ba,1.62,15.021,10.678,0.006,205.611,1.197,V
2457636.96081,2016-09-05.4589074,ba,1.63,15.009,10.689,0.007,203.330,1.294,V
2457636.96207,2016-09-05.4601708,ba,1.62,14.999,10.667,0.007,207.562,1.320,V
2457639.94631,2016-09-08.4442236,ba,1.63,15.014,10.658,0.007,209.333,1.346,V
2457639.94756,2016-09-08.4454777,ba,1.68,14.989,10.662,0.006,208.515,1.241,V
2457639.94881,2016-09-08.4467292,ba,1.59,15.020,10.668,0.006,207.454,1.192,V
2457651.99962,2016-09-20.4968679,ba,1.72,14.056,10.640,0.012,212.735,2.343,V
2457652.00088,2016-09-20.4981331,ba,1.70,13.950,10.650,0.012,210.643,2.381,V
2457652.00213,2016-09-20.4993819,ba,1.71,13.940,10.662,0.015,208.603,2.772,V
2457652.96497,2016-09-21.4621767,ba,1.63,14.958,10.615,0.006,217.891,1.220,V
2457652.96624,2016-09-21.4634447,ba,1.70,14.924,10.603,0.006,220.057,1.302,V
2457652.96749,2016-09-21.4646972,ba,1.65,14.965,10.615,0.006,217.716,1.290,V
2457656.99276,2016-09-25.4897644,ba,1.56,15.023,10.735,0.007,195.044,1.271,V
2457656.99402,2016-09-25.4910292,ba,1.61,15.037,10.743,0.006,193.605,1.110,V
2457656.99528,2016-09-25.4922943,ba,1.59,15.034,10.721,0.006,197.462,1.051,V
2457664.04738,2016-10-02.5440783,ba,1.71,14.842,10.648,0.007,211.281,1.274,V
2457664.04864,2016-10-02.5453410,ba,1.68,14.840,10.618,0.006,217.131,1.241,V
2457664.04989,2016-10-02.5465962,ba,1.63,14.876,10.639,0.006,212.970,1.265,V
2457668.00568,2016-10-06.5022296,ba,1.73,15.073,10.900,0.007,167.568,1.042,V
2457668.00696,2016-10-06.5035149,ba,1.81,15.100,10.905,0.007,166.705,1.013,V
2457668.00822,2016-10-06.5047721,ba,1.74,15.082,10.919,0.007,164.590,1.029,V
2457669.92829,2016-10-08.4247793,ba,1.68,15.001,10.646,0.006,211.563,1.210,V
2457669.92955,2016-10-08.4260354,ba,1.68,14.989,10.631,0.006,214.613,1.172,V
2457669.93081,2016-10-08.4272971,ba,1.56,14.995,10.633,0.006,214.213,1.259,V
2457672.84308,2016-10-11.3394740,ba,1.67,14.946,10.633,0.006,213.978,1.275,V
2457672.84435,2016-10-11.3407371,ba,1.60,14.957,10.633,0.006,214.046,1.194,V
2457672.84560,2016-10-11.3419947,ba,1.62,14.974,10.654,0.007,210.109,1.269,V
2457675.93668,2016-10-14.4329788,ba,1.69,14.863,10.660,0.007,208.881,1.361,V
2457675.93795,2016-10-14.4342420,ba,1.77,14.926,10.680,0.007,205.165,1.279,V
2457675.93920,2016-10-14.4354965,ba,1.68,14.915,10.663,0.007,208.329,1.336,V
2457681.95679,2016-10-20.4529464,ba,2.23,14.872,10.644,0.006,211.918,1.289,V
2457681.95804,2016-10-20.4541932,ba,2.22,14.890,10.650,0.007,210.808,1.314,V
2457681.95929,2016-10-20.4554446,ba,2.22,14.921,10.639,0.007,213.004,1.320,V
2457686.99629,2016-10-25.4923513,ba,2.04,15.013,10.713,0.006,199.017,1.113,V
2457686.99755,2016-10-25.4936138,ba,2.07,15.006,10.716,0.006,198.506,1.084,V
2457686.99880,2016-10-25.4948690,ba,2.07,14.994,10.716,0.006,198.449,1.081,V
2457689.98350,2016-10-28.4795196,ba,2.06,14.865,10.616,0.006,217.474,1.242,V
2457689.98475,2016-10-28.4807717,ba,2.05,14.873,10.621,0.006,216.472,1.219,V
2457689.98600,2016-10-28.4820277,ba,2.05,14.893,10.634,0.006,213.853,1.252,V
2457690.92625,2016-10-29.4222666,ba,2.18,14.952,10.664,0.006,208.124,1.256,V
2457690.92752,2016-10-29.4235297,ba,2.26,14.916,10.664,0.006,208.033,1.237,V
2457690.92877,2016-10-29.4247840,ba,2.20,14.939,10.670,0.006,206.949,1.222,V
2457694.81750,2016-11-02.3134851,ba,1.64,14.986,10.659,0.006,209.046,1.241,V
2457694.81875,2016-11-02.3147358,ba,1.77,14.995,10.668,0.006,207.330,1.100,V
2457694.82007,2016-11-02.3160503,ba,1.74,14.977,10.663,0.006,208.237,1.120,V
2457697.96959,2016-11-05.4655663,ba,1.72,15.160,11.023,0.007,149.602,0.937,V
2457697.97086,2016-11-05.4668331,ba,1.98,15.159,11.038,0.007,147.513,0.902,V
2457697.97211,2016-11-05.4680876,ba,1.77,15.145,11.062,0.007,144.292,0.893,V
2457700.90856,2016-11-08.4045313,ba,1.65,14.969,10.638,0.006,213.098,1.205,V
2457700.90982,2016-11-08.4057946,ba,1.63,14.950,10.637,0.006,213.224,1.210,V
2457700.91109,2016-11-08.4070589,ba,1.62,14.917,10.588,0.007,223.257,1.346,V
2457703.85022,2016-11-11.3462069,ba,1.66,14.955,10.663,0.007,208.430,1.280,V
2457703.85149,2016-11-11.3474752,ba,1.61,14.930,10.648,0.006,211.213,1.166,V
2457703.85274,2016-11-11.3487179,ba,1.66,14.938,10.657,0.007,209.602,1.313,V
2457705.94933,2016-11-13.4453300,ba,2.03,14.805,10.672,0.008,206.575,1.434,V
2457705.95059,2016-11-13.4465875,ba,2.05,14.848,10.645,0.007,211.761,1.339,V
2457705.95185,2016-11-13.4478502,ba,2.00,14.828,10.639,0.007,213.016,1.304,V
2457709.93708,2016-11-17.4331217,ba,2.09,14.895,10.866,0.007,172.860,1.158,V
2457709.93834,2016-11-17.4343777,ba,1.75,14.951,10.872,0.007,171.908,1.061,V
2457709.93959,2016-11-17.4356278,ba,1.70,14.957,10.813,0.007,181.495,1.191,V
2457710.84902,2016-11-18.3450696,ba,1.75,15.058,10.838,0.006,177.275,1.041,V
2457710.85028,2016-11-18.3463343,ba,1.98,15.040,10.852,0.006,174.912,0.993,V
2457710.85156,2016-11-18.3476082,ba,1.98,15.045,10.797,0.006,184.146,1.047,V
2457713.76427,2016-11-21.2603736,ba,1.67,13.006,10.606,0.027,219.466,5.357,V
2457713.76553,2016-11-21.2616255,ba,1.51,99.990,99.990,99.990,99.990,99.990,V
2457713.76678,2016-11-21.2628767,ba,1.65,99.990,99.990,99.990,99.990,99.990,V
2457715.82187,2016-11-23.3180064,ba,2.15,14.897,10.664,0.006,208.114,1.196,V
2457715.82314,2016-11-23.3192753,ba,2.25,14.810,10.661,0.007,208.765,1.289,V
2457715.82439,2016-11-23.3205262,ba,2.16,14.943,10.649,0.006,211.007,1.129,V
2457720.90304,2016-11-28.3992884,ba,2.14,14.639,10.625,0.007,215.792,1.369,V
2457720.90429,2016-11-28.4005403,ba,2.11,14.642,10.640,0.007,212.785,1.491,V
