phase,mag
0.7380575971892256,10.742
0.7387977857772512,10.739
0.7395088328685802,10.736
0.3228996695105195,10.758
0.3236048883025262,10.751
0.7181738973671372,10.731
0.7188849444584946,10.734
0.7195843352225495,10.724
0.39823931678807867,10.77
0.39895036387940763,10.784
0.399673067569438,10.78
0.8948833950566097,10.797
0.8955944421479387,10.81
0.8963054892392677,10.796
0.1282716838921374,10.789
0.12898273098349478,10.797
0.12968794977547304,10.805
0.44711868671763,10.864
0.44783556210830966,10.867
0.4485407809002879,10.871
0.5709927470347793,10.824
0.571709622425459,10.828
0.5724206695167879,10.823
0.31840266424322294,10.747
0.3191195396339026,10.72
0.31983058672523157,10.737
0.9467060336260715,11.006
0.9474287373160735,11.011
0.9481339561080802,11.019
0.23430423976680004,10.728
0.235015286858129,10.734
0.23573216197740976,10.736
0.014101769698413591,11.3
0.014812816789742556,11.283
0.015523863881099942,11.283
0.20290259015914103,10.761
0.20361363725047,10.744
0.2043130280145249,10.742
0.9370299144066223,10.959
0.9377409614979513,10.952
0.9384520085893087,10.963
0.4865236201954417,10.988
0.4872346672867707,10.99
0.48793988607877736,10.987
0.9494172621351709,11.022
0.9501224811985765,11.017
0.9508276999905547,11.029
0.9216712464844647,10.884
0.9223822935757937,10.891
0.9230875123678004,10.88
0.8533767432325305,10.789
0.8540877903238595,10.784
0.8547871808165155,10.783
0.3937725429604484,10.769
0.39448359005177736,10.78
0.3951946371431063,10.781
0.7237178610045305,10.731
0.7244347363951817,10.723
0.7251457834865391,10.736
0.5438958476113953,10.91
0.544601066403402,10.894
0.545312113494731,10.891
0.14540672875511973,10.789
0.1461236041457994,10.786
0.14684047953647905,10.77
0.7448427513468232,10.725
0.7455537987095511,10.73
0.74626484580088,10.735
0.29579934941367014,10.747
0.2965103965049991,10.729
0.2972156152970058,10.736
0.8060106167416734,10.722
0.8067216638330308,10.727
0.807438539223682,10.739
0.5034908618723932,10.966
0.5042077372630729,10.971
0.5049071280271278,10.992
0.005204533629012076,11.327
0.00591558072034104,11.307
0.006632456111020701,11.308
0.3976915378879937,10.747
0.3984025852507216,10.767
0.3991078040427283,10.758
0.20109932877434744,10.768
0.2018162041650271,10.849
0.7710152399341439,10.728
