hjd,phase,target flux,comp flux,check flux,mag
2459898.5334485,0.5145134610236255,203180.6366369629,447561.87690917955,87281.91623840331,10.705426496908558
2459898.5349545,0.5153911961190261,206224.85894714354,444049.8331811523,88505.06015869143,10.680726312789728
2459898.5364707,0.5162748762154479,204078.66627685545,447579.3794287108,87030.23469787599,10.700680728876494
2459902.6678803,0.9241657252503046,11077.827172851563,25199.640810546876,5226.97971923828,10.740348985606984
2459902.6693956,0.9250488807317652,8285.472183837892,19659.630776367187,3776.6800500488284,10.786144806615393
2459902.6709075,0.9259300547273597,9829.777048339844,22410.258740234378,4253.723275146483,10.742757580654802
2459903.5229091,0.4224983097774384,134685.94121459962,286981.97560668946,55358.127713012684,10.669330461287151
2459903.5244318,0.42338577806481226,158055.38516723638,332748.9518530273,65042.4405822754,10.656268069482154
2459903.525948,0.42426945816123407,168967.08205444334,360811.05184204096,68825.50981628418,10.671693891707614
2459904.5432938,0.01720452863492028,32649.855251464844,81273.79441284179,15895.423446044922,10.83817276228123
2459904.5448027,0.01808395400507834,99052.37452880858,245682.4427575684,47421.43529174805,10.834272648828863
2459904.5463175,0.018966818003946173,47778.13533691406,118029.65513427736,23265.583712158208,10.829904427455142
2459906.5158797,0.16687788396097858,215687.27260375972,422881.7006054687,81764.35297180178,10.578985506573618
2459906.5173979,0.16776272971719663,215085.537520752,424286.01007080096,81720.13705017092,10.585618330041482
2459906.518912,0.16864518580291588,210630.66836181644,413566.0423339845,79909.82219909668,10.580557737872665
2459907.5499345,0.7695513855719582,148247.92501342774,286593.94554382324,54527.749893188484,10.563695542931802
2459907.5514434,0.7704308109421163,143598.30895568847,276373.3649719238,52962.46412231446,10.558866724531796
2459907.5529626,0.7713162393924904,139780.98443481448,270052.84491699224,51330.95125854492,10.563001227847169
2459910.511001,0.49533643713630227,186045.72031616216,424963.26746826165,82084.32521789552,10.744828843643017
2459910.5125078,0.4962146384955304,187738.2264367676,426810.3035156249,82437.38505737306,10.739705033502478
2459910.5140305,0.4971021067831316,184866.12007324223,418419.0469799804,80768.04858459473,10.73488487153772
2459915.6721658,0.5033948711961784,190929.49552124026,432710.64360839856,85011.64576660153,10.73631095485934
2459915.6736833,0.5042793090394753,196178.12215332035,442161.03150634764,87042.02389770508,10.730324301864425
2459915.6752075,0.5051676515040526,198357.0656958008,446865.4821557618,88190.94399658202,10.729822407804448
2459918.5475075,0.17921732347599573,88233.02952636719,171246.38707519532,32963.93177734375,10.56797513872693
2459918.5490165,0.18009680719683274,84678.89282226565,164919.8162646484,30992.36102050781,10.57174375102629
2459918.5505254,0.1809762325669908,80850.32537109374,157838.7325341797,30404.035290527347,10.574329104782526
2459922.5024708,0.4842707704763143,130351.05132568358,294588.11871093744,56849.44415771485,10.733251294505434
2459922.5039847,0.48515310986044824,125896.87638427732,285866.6475097656,55412.849150390626,10.738370906564036
2459922.5054958,0.4860338175919878,125409.20329345702,285015.75391601573,54456.90579833984,10.739348215130327
2459923.4984469,0.06475103476282129,159161.959206543,332964.3281225587,63869.19467285156,10.649395652081791
2459923.4999653,0.06563599694936784,154549.2647363282,322483.33182861324,61479.81442626954,10.646600395116025
2459923.5014677,0.06651163412834649,148691.98156005863,310060.6131835938,59011.16885253908,10.645897203761225
2459926.4791473,0.8019792237785168,139595.67474609372,274815.7498583985,52584.10358398438,10.583423714089479
2459926.4806562,0.8028586491486749,136161.65167968755,266865.4464160156,51058.18709960938,10.578593408604723
2459926.4821709,0.8037414547966364,138183.3192248535,269732.42543457024,52196.151009521476,10.57419341565262
2459928.4925564,0.9754453810376162,97072.51928833006,259612.4720239258,48971.773049316405,10.916072701953029
2459928.4940704,0.9763277787724292,94025.35431152344,250076.51623901367,47390.842966308606,10.910069402819769
2459928.4955794,0.9772072624932662,89777.76681396483,241762.13085449222,45697.3808215332,10.9235482640503
2459932.606137,0.3729450342941618,122336.7767364502,248093.8076403809,49093.33209167481,10.615646799679352
2459932.6076415,0.37382189521258624,181389.2736694336,362970.9214709472,71199.17859436036,10.601150153282303
2459932.6091562,0.3747047011320319,67617.65102233888,135632.30025573733,26582.468161010744,10.60375719162633
2459934.4863303,0.4687696268920263,98328.6859008789,219695.60252319332,41349.723095703135,10.72085239508955
2459934.4878341,0.4696460798973021,96014.00182373045,215545.80565429688,40922.896704101564,10.726012085185125
2459934.4893437,0.47052591318060877,92393.16436279296,207605.44672119143,39385.79307495118,10.726996827700123
2459935.472262,0.043395758971655596,119788.10102661133,269076.2989294434,51147.60159301757,10.726653985886847
2459935.4737772,0.0442788561024372,117527.92187133788,259997.99335449215,50246.680317382816,10.710071920517219
2459935.4752882,0.04515950548307046,114978.17681762697,252673.196439209,48213.86225585937,10.70285896417326
2459939.4905391,0.38535010253349355,75179.76867248534,150391.45711608892,28048.94934936524,10.600805027993234
2459939.4920488,0.38622999416747916,72423.72658813477,145682.4714770508,27359.751328125003,10.606815654622364
2459939.4935489,0.38710429063416996,69920.93362060546,139395.9826855469,25903.990440063473,10.597107170821936
2459940.464683,0.9531060041629189,25066.617006835946,64427.66225097655,12771.488316650391,10.87294119232826
2459940.4661825,0.9539799510673674,21701.909414062502,56127.98904541016,10536.013182373044,10.879703413322613
2459940.4676848,0.954855529624183,16149.832050781251,40578.95072998046,7797.967987060549,10.848331579764224
2459941.4647881,0.5359927551983219,89000.31378051756,185573.83080200196,35665.08387817383,10.645812560711429
2459941.466307,0.5368780085962044,100006.79657958986,210004.5505712891,40171.754658203114,10.653497546154188
2459941.4678223,0.5377611640778923,100156.33714843751,209169.5225793457,40110.00684448243,10.647549502061175
2459943.5431735,0.7473287565239843,181677.19214477538,350514.9998596192,69044.2490625,10.561515069353028
2459943.5446919,0.7482137187105309,190453.98135864257,369685.4117822265,72870.29671997069,10.568105216035827
2459943.546218,0.7491031687554823,172254.45048461918,333942.78901245113,65898.19937255859,10.566753619043986
2459955.4963994,0.7139735698485765,228670.18833129882,440276.64386230474,86793.09935180664,10.55928981733562
2459955.4979046,0.7148508389514063,230388.0489819336,444331.6362915039,87342.53913696288,10.561117795251445
2459955.4994265,0.7157378409749526,233859.40719604492,449576.7450512696,88943.39713500976,10.557622058311388
2459966.4772285,0.11388073605417048,205166.3375378418,416753.935300293,81965.52602539063,10.617433581752994
2459966.4787446,0.11476435779968597,207764.38425109864,420950.1681054688,83593.5452984619,10.614648537941697
2459966.4802673,0.11565182608728719,209047.87067626955,421122.0435717773,83077.48803283692,10.608405139834744
2459976.4671356,0.9362532960124099,127413.50163085938,305855.00429199217,59924.52261718749,10.798749921077693
2459976.4686444,0.9371326633031458,154545.36606445312,372269.88551269536,73087.50910156251,10.802504368113558
2459976.4701583,0.9380150026870524,154715.24634765627,373166.5698242187,73701.35878417968,10.803923616047575
2459977.483803,0.5287929776443434,208391.3240966797,448538.3400585938,87693.58365966799,10.680299416155464
2459977.4853249,0.5296799799393739,208582.92759521486,448337.50207275385,88303.72181640624,10.678815345342768
2459977.4868481,0.5305677397095678,204462.03141845705,437123.63227539056,86180.34397216799,10.672978610414091
2459982.4814184,0.44153065184673324,13107.818442382813,28952.402734374995,5424.255786132812,10.708385057695462
2459982.4829265,0.4424096109528364,10772.564140624998,22297.489350585936,4118.650234375,10.637841764219484
2459982.4844318,0.44328693813508835,9261.786440429687,20262.789096679684,4071.940170898438,10.698010726228736
2459984.4880401,0.611040939202212,220751.91376342776,437815.21497314447,86072.6076300049,10.591465504808424
2459984.4895598,0.6119266591354062,220582.9373449707,436597.57156494155,85518.64723083498,10.589273073108474
2459984.4910752,0.6128098729680005,219970.0130700684,434875.2934729004,84996.5984277344,10.588002708310961
2459987.4825398,0.3563117120561401,231964.01725341796,462318.22397094726,90217.98245117188,10.596800551869627
2459987.4840522,0.35719317726307054,228609.58827270506,454290.7566040039,89286.02054504394,10.593598219963814
2459987.485564,0.3580742929077587,230025.3540576172,457109.17789794924,89333.01920837401,10.593610156135668
